index,barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,feScore,fuelCost08,fuelCostA08,fuelType,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,charge240b,createdOn,modifiedOn,phevCity,phevHwy,phevComb
7139,0.282,0.0,0.0,0.0,81,0.0,0,0.0,0.0,41.0,0.0,0,-1,0.0,0.0,72,0.0,0,0.0,47.0,0.0,0.0,0.0,0.0,2-Wheel Drive,0,-1,900,0,Electricity,-1,-1,64,0.0,0,0.0,0.0,53.0,0.0,0,0,16424,0,0,Toyota,RAV4 EV,N,False,0,0,88,0.0,0.0,0.0,0.0,Automatic,116.2069,0.0,91.0811,0.0,Sport Utility Vehicle - 2WD,2000,2250,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016,0,0,0
8143,0.282,0.0,0.0,0.0,81,0.0,0,0.0,0.0,41.0,0.0,0,-1,0.0,0.0,72,0.0,0,0.0,47.0,0.0,0.0,0.0,0.0,2-Wheel Drive,0,-1,900,0,Electricity,-1,-1,64,0.0,0,0.0,0.0,53.0,0.0,0,0,17328,0,0,Toyota,RAV4 EV,N,False,0,0,88,0.0,0.0,0.0,0.0,Automatic,116.2069,0.0,91.0811,0.0,Sport Utility Vehicle - 2WD,2001,2250,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016,0,0,0
8146,0.522,0.0,0.0,0.0,45,0.0,0,0.0,0.0,75.0,0.0,0,-1,0.0,0.0,39,0.0,0,0.0,87.0,0.0,0.0,0.0,0.0,2-Wheel Drive,0,-1,1700,0,Electricity,-1,-1,33,0.0,0,0.0,0.0,102.0,0.0,0,0,17330,0,0,Ford,Explorer USPS Electric,N,False,0,0,38,0.0,0.0,0.0,0.0,Automatic,62.4074,0.0,46.8056,0.0,Sport Utility Vehicle - 2WD,2001,-1750,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016,0,0,0
9212,0.258,0.0,0.0,0.0,87,0.0,0,0.0,0.0,39.0,0.0,0,-1,0.0,0.0,78,0.0,0,0.0,43.0,0.0,0.0,0.0,0.0,2-Wheel Drive,0,-1,850,0,Electricity,-1,-1,69,0.0,0,0.0,0.0,49.0,0.0,0,0,18290,0,0,Toyota,RAV4 EV,N,False,0,0,95,0.0,0.0,0.0,0.0,Automatic,124.8148,0.0,99.1176,0.0,Sport Utility Vehicle - 2WD,2002,2500,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016,0,0,0
9213,0.522,0.0,0.0,0.0,45,0.0,0,0.0,0.0,75.0,0.0,0,-1,0.0,0.0,39,0.0,0,0.0,87.0,0.0,0.0,0.0,0.0,2-Wheel Drive,0,-1,1700,0,Electricity,-1,-1,33,0.0,0,0.0,0.0,102.0,0.0,0,0,18291,0,0,Ford,Explorer USPS Electric,N,False,0,0,38,0.0,0.0,0.0,0.0,Automatic,62.4074,0.0,46.8056,0.0,Sport Utility Vehicle - 2WD,2002,-1750,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016,0,0,0
10329,0.258,0.0,0.0,0.0,87,0.0,0,0.0,0.0,39.0,0.0,0,-1,0.0,0.0,78,0.0,0,0.0,43.0,0.0,0.0,0.0,0.0,2-Wheel Drive,0,-1,850,0,Electricity,-1,-1,69,0.0,0,0.0,0.0,49.0,0.0,0,0,19296,0,0,Toyota,RAV4 EV,N,False,0,0,95,0.0,0.0,0.0,0.0,Automatic,124.8148,0.0,99.1176,0.0,Sport Utility Vehicle - 2WD,2003,2500,0.0,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016,0,0,0
21413,13.73375,0.0,0.0,0.0,22,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,370.29166,24,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheel Drive,0,-1,1400,0,Regular,-1,-1,28,0.0,0,0.0,0.0,0.0,0.0,0,0,29472,0,0,Subaru,RX Turbo,N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 5-spd,27.4,0.0,38.8,0.0,Subcompact Cars,1985,-250,0.0,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
21414,14.33087,0.0,0.0,0.0,21,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,386.3913,23,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheel Drive,0,-1,1450,0,Regular,-1,-1,27,0.0,0,0.0,0.0,0.0,0.0,0,0,29473,0,0,Subaru,RX Turbo,N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 5-spd,26.9,0.0,37.1,0.0,Subcompact Cars,1985,-500,0.0,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,0,0,0
23026,0.348,0.0,0.0,0.0,62,0.0,0,0.0,0.0,54.0,0.0,0,-1,0.0,0.0,58,0.0,0,0.0,58.0,0.0,0.0,0.0,0.0,2-Wheel Drive,0,-1,1150,0,Electricity,-1,-1,54,0.0,0,0.0,0.0,63.0,0.0,0,0,30965,0,0,Ford,Ranger Pickup 2WD,N,False,0,0,50,0.0,0.0,0.0,0.0,Automatic (A1),88.6842,0.0,76.5909,0.0,Standard Pickup Trucks 2WD,2001,1000,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014,0,0,0
23027,0.348,0.0,0.0,0.0,62,0.0,0,0.0,0.0,54.0,0.0,0,-1,0.0,0.0,58,0.0,0,0.0,58.0,0.0,0.0,0.0,0.0,2-Wheel Drive,0,-1,1150,0,Electricity,-1,-1,54,0.0,0,0.0,0.0,63.0,0.0,0,0,30966,0,0,Ford,Ranger Pickup 2WD,N,False,0,0,50,0.0,0.0,0.0,0.0,Automatic (A1),88.6842,0.0,76.5909,0.0,Standard Pickup Trucks 2WD,2000,1000,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014,0,0,0
